티커,BPS,PER,PBR,EPS,DIV,DPS,ticker,sector
111870,1856,0.0,0.64,0,0.0,0,111870,2001/2004/2024/2072/2183
291230,0,0.0,0.0,0,0.0,0,291230,2001/2004/2031
009300,26397,8.74,0.55,1671,2.05,300,009300,2001/2004/2024/2066/2181
225190,3893,6.79,2.36,1351,10.89,1000,225190,2001/2004/2024/2074/2181
054540,5964,19.02,0.87,273,1.93,100,054540,2001/2004/2024/2068/2183
065570,8544,0.0,0.88,0,0.0,0,065570,2001/2004/2015/2043/2157/2183
032280,4001,10.09,0.54,213,2.33,50,032280,2001/2004/2029/2183
002290,4744,17.55,0.98,265,2.15,100,002290,2001/2004/2026/2183
037460,12357,15.41,1.11,892,1.02,140,037460,2001/2003/2015/2043/2157/2182
032750,12767,5.65,0.89,2019,1.75,200,032750,2001/2004/2024/2072/2181
054090,3698,164.8,1.07,24,1.9,75,054090,2001/2004/2015/2043/2160/2182
000250,7142,117.0,7.99,488,0.09,50,000250,2001/2002/2024/2066/2181/2203/2217
024950,5991,0.0,2.15,0,0.0,0,024950,2001/2004/2027/2183
038500,5916,27.28,0.8,173,1.06,50,038500,2001/2003/2024/2067/2181/2203/2212
017480,9497,11.07,0.49,424,3.19,150,017480,2001/2004/2024/2068/2181
046390,811,268.2,5.96,18,0.0,0,046390,2001/2004/2037/2182
027580,631,0.0,2.71,0,0.0,0,027580,2001/2004/2024/2065/2183
038540,9501,2.85,0.68,2282,3.08,200,038540,2001/2003/2015/2042/2156/2181/2203
307870,0,0.0,0.0,0,0.0,0,307870,2001/2004/2031
329560,0,0.0,0.0,0,0.0,0,329560,2001/2004/2031
101000,400,0.0,2.11,0,0.0,0,101000,2001/2004/2024/2070/2183
091580,4905,35.66,2.76,380,0.37,50,091580,2001/2004/2015/2043/2160/2181
263810,2424,25.56,1.86,176,0.0,0,263810,2001/2004/2024/2072/2183
089980,9392,55.53,4.98,842,0.34,160,089980,2001/2002/2024/2065/2181/2203/2216
042940,1064,0.0,1.22,0,0.0,0,042940,2001/2004/2026/2183
042600,6449,0.0,1.57,0,0.39,40,042600,2001/2004/2015/2043/2160/2183
263540,1101,0.0,1.83,0,0.0,0,263540,2001/2004/2024/2075
294630,357,0.0,8.82,0,0.0,0,294630,2001/2004/2024/2072/2184
038070,7213,11.02,1.69,1107,0.82,100,038070,2001/2004/2027/2183
006730,11369,7860.0,0.69,1,0.0,0,006730,2001/2003/2183/2203/2215
079650,3526,0.0,0.72,0,0.0,0,079650,2001/2004/2024/2067/2183
100660,4891,33.75,1.19,173,0.86,50,100660,2001/2004/2024/2070/2183
019770,5618,0.0,2.0,0,0.53,60,019770,2001/2004/2024/2070/2183
043710,1717,0.0,0.54,0,0.0,0,043710,2001/2004/2027/2183
092190,4404,101.4,3.38,147,0.26,38,092190,2001/2002/2015/2043/2160/2183/2203/2216
046890,11339,31.28,1.66,601,0.83,156,046890,2001/2002/2015/2043/2159/2181/2203/2216
063170,4052,0.0,3.05,0,0.0,0,063170,2001/2004/2027/2183
027040,1343,16.2,0.71,59,0.0,0,027040,2001/2004/2027/2183
018680,5958,310.8,1.46,28,0.17,15,018680,2001/2004/2024/2066/2183
093920,8637,11.25,0.88,672,3.97,300,093920,2001/2004/2015/2043/2160/2181
189860,3894,27.06,0.96,138,0.8,30,189860,2001/2004/2024/2072/2182
178320,14558,16.06,2.97,2688,0.69,300,178320,2001/2002/2015/2043/2157/2181/2203/2216
122690,4352,0.0,0.71,0,0.0,0,122690,2001/2004/2024/2075/2183
140070,3336,104.56,1.38,44,0.0,0,140070,2001/2004/2027/2181
011370,2994,14.74,0.48,98,2.08,30,011370,2001/2004/2026/2181
065710,14529,6.8,1.39,2978,5.93,1200,065710,2001/2004/2024/2072
035890,1826,4.56,0.83,331,1.99,30,035890,2001/2003/2026/2183
357550,2271,88.44,9.78,251,0.0,0,357550,2001/2024/2065/2184
003100,46250,35.25,0.63,831,1.19,350,003100,2001/2004/2029/2181
123420,14294,75.94,1.69,318,0.0,0,123420,2001/2004/2015/2042/2154/2181
171090,10070,20.27,1.67,829,0.6,100,171090,2001/2004/2015/2043/2159/2181
086710,5932,16.97,3.63,1270,0.14,30,086710,2001/2024/2065/2183
014620,15359,32.53,0.47,221,1.39,100,014620,2001/2004/2024/2068/2183
037350,8985,0.0,0.6,0,0.93,50,037350,2001/2004/2012/2182
081580,6595,0.0,0.47,0,0.0,0,081580,2001/2004/2015/2043/2160/2181
045300,5254,10.65,1.0,492,0.76,40,045300,2001/2004/2015/2043/2159/2183
015750,13553,13.21,0.48,492,1.23,80,015750,2001/2003/2024/2075/2181
080470,5186,0.0,1.78,0,0.33,30,080470,2001/2004/2024/2075/2183
043260,1156,0.0,1.47,0,0.0,0,043260,2001/2004/2015/2043/2160/2182
148150,11869,10.3,1.73,1991,1.22,250,148150,2001/2003/2024/2072/2181
053060,1770,0.0,1.23,0,0.0,0,053060,2001/2004/2024/2075
017510,4681,19.6,0.94,224,1.82,80,017510,2001/2004/2024/2068/2183
214310,1565,0.0,0.75,0,0.0,0,214310,2001/2004/2015/2043/2159
011560,14252,0.0,0.44,0,2.4,150,011560,2001/2004/2026/2181
100700,2174,24.7,2.49,219,0.92,50,100700,2001/2003/2024/2066/2181
234100,1619,94.94,4.05,69,0.0,0,234100,2001/2004/2024/2075/2182
024830,22641,3.99,0.28,1572,0.4,25,024830,2001/2004/2024/2075
258830,6822,19.33,1.47,520,1.0,100,258830,2001/2004/2024/2074/2182
036630,557,206.5,1.48,4,0.0,0,036630,2001/2003/2015/2041/2151/2183
039310,4462,22.64,0.62,123,0.0,0,039310,2001/2004/2012/2183
067770,4464,0.0,1.16,0,0.0,0,067770,2001/2004/2015/2043/2160/2183
053450,9257,0.0,0.9,0,0.6,50,053450,2001/2004/2024/2074/2183
234340,11939,22.27,2.73,1466,1.16,380,234340,2001/2003/2015/2042/2155/2181
252500,1256,130.0,3.11,30,0.26,10,252500,2001/2004/2024/2065/2183
347000,1950,0.0,11.0,0,0.0,0,347000,2001/2004/2024/2072/2184
051980,528,0.0,5.05,0,0.0,0,051980,2001/2004/2024/2065
331920,800,0.0,25.38,0,0.0,0,331920,2001/2004/2024/2066/2184
049180,213,0.0,28.08,0,0.0,0,049180,2001/2004/2024/2066
299660,5359,0.0,6.83,0,0.0,0,299660,2001/2003/2012/2184
268600,1745,0.0,77.2,0,0.0,0,268600,2001/2002/2012/2184/2203/2217
108860,1380,0.0,2.11,0,0.0,0,108860,2001/2004/2015/2042/2155/2182
208370,1114,0.0,2.15,0,0.0,0,208370,2001/2004/2024/2074/2182
068760,7674,641.5,19.73,236,0.0,0,068760,2001/2002/2024/2066/2183/2203/2217
091990,10816,297.8,11.75,427,0.0,0,091990,2001/2002/2027/2181/2203/2217
290690,3274,23.64,6.75,935,0.23,50,290690,2001/2004/2024/2072/2182
053110,338,0.0,0.84,0,0.0,0,053110,2001/2004/2015/2042/2154/2182
032680,975,0.0,1.76,0,0.0,0,032680,2001/2004/2027/2183
032685,0,0.0,0.0,0,0.0,0,032685,
258790,401,117.1,7.59,26,0.0,0,258790,2001/2004/2024/2063/2182
066910,909,0.0,2.87,0,0.0,0,066910,2001/2004/2027/2183
043100,566,0.0,0.69,0,0.0,0,043100,2001/2004/2024/2074
154040,4924,0.0,0.86,0,0.0,0,154040,2001/2004/2015/2043/2160/2183
035610,5130,94.75,1.44,78,0.0,0,035610,2001/2004/2012/2183
