ticker,EPS,PER,BPS,PBR,DPS,DIV
003010,412,14.64,8192,0.74,60,1.0
111110,346,30.78,14353,0.74,250,2.35
008770,4483,18.69,22979,3.65,350,0.42
008775,0,0.0,0,0.0,400,0.48
002460,634,17.9,29797,0.38,500,4.41
013520,376,9.71,4046,0.9,25,0.68
241590,1031,16.1,5759,2.88,45,0.27
006060,1092,7.11,5972,1.3,45,0.58
010690,202,24.28,8582,0.57,50,1.02
133820,0,0.0,3118,0.82,0,0.0
010660,0,0.0,5663,0.45,0,0.0
000850,3388,9.39,134845,0.24,1250,3.93
016580,1225,14.78,14719,1.23,300,1.66
032560,1795,5.06,18579,0.49,100,1.1
004800,5100,15.88,115817,0.7,5000,6.17
094280,899,21.47,4162,4.64,500,2.59
298040,1411,49.88,97403,0.72,0,0.0
298050,0,0.0,72195,4.36,0,0.0
298020,21569,22.39,112984,4.27,2000,0.41
298000,27637,8.54,142536,1.66,5000,2.12
093370,87,118.4,2295,4.49,15,0.15
081660,4382,9.72,20448,2.08,219,0.51
005870,589,11.04,8207,0.79,0,0.0
079980,0,0.0,11407,0.7,150,1.89
005010,0,0.0,52030,0.18,300,3.15
069260,1812,13.22,15970,1.5,1000,4.18
000540,510,7.57,10926,0.35,0,0.0
000547,0,0.0,0,0.0,0,0.0
000545,0,0.0,0,0.0,0,0.0
003280,0,0.0,276,0.93,0,0.0
060310,0,0.0,745,3.22,0,0.0
054620,0,0.0,10530,0.73,0,0.0
265520,671,43.22,7468,3.88,50,0.17
211270,51,352.0,5479,3.28,70,0.39
035760,5310,26.8,134364,1.06,1400,0.98
051500,434,52.4,16967,1.34,250,1.1
058820,25,176.0,1297,3.39,0,0.0
023460,424,5.79,2811,0.87,30,1.22
056000,0,0.0,1229,2.33,0,0.0
065770,0,0.0,1155,2.23,0,0.0
083660,0,0.0,836,3.49,0,0.0
367340,0,0.0,0,0.0,0,0.0
068790,768,10.82,7205,1.15,75,0.9
241520,233,23.61,1343,4.1,0,0.0
245620,0,0.0,1090,8.99,0,0.0
037370,0,0.0,4426,2.49,0,0.0
079190,120,23.17,971,2.86,0,0.0
130500,204,31.9,3899,1.67,0,0.0
083450,2010,10.1,10657,1.9,200,0.99
028150,18339,7.81,174659,0.82,6500,4.54
045890,0,0.0,811,0.41,0,0.0
078150,41,69.9,2025,1.41,20,0.7
036640,60,97.8,4475,1.31,0,0.0
335870,0,0.0,0,0.0,0,0.0
351340,0,0.0,0,0.0,0,0.0
351320,0,0.0,0,0.0,0,0.0
373200,0,0.0,0,0.0,0,0.0
095340,311,60.62,12011,1.57,50,0.27
099520,0,0.0,598,4.66,0,0.0
067290,33,145.8,1514,3.18,60,1.25
035900,947,36.44,4477,7.71,155,0.45
024840,196,11.89,2735,0.85,0,0.0
024120,930,10.86,8912,1.13,230,2.28
021320,1319,6.39,17642,0.48,150,1.78
036670,1061,8.82,5775,1.62,200,2.14
044180,0,0.0,2170,0.43,0,0.0
151860,2789,2.16,6733,0.89,110,1.83
046440,619,15.98,7541,1.31,200,2.02
035600,1847,9.96,8937,2.06,330,1.79
060720,0,0.0,7998,2.51,0,0.0
122450,334,36.53,4835,2.52,70,0.57
052900,48,43.44,1358,1.54,0,0.0
058400,61,28.36,1479,1.17,20,1.16
114450,80,109.0,4024,2.17,0,0.0
036030,40,246.0,5741,1.71,0,0.0
060370,24,223.8,4680,1.15,30,0.56
065150,11,81.4,252,3.55,0,0.0
219550,0,0.0,536,2.11,0,0.0
160550,0,0.0,3979,2.95,0,0.0
053290,59,138.0,3886,2.09,0,0.0
104200,341,19.53,4560,1.46,0,0.0
060250,1040,45.88,5192,9.19,230,0.48
030190,682,33.5,3692,6.19,230,1.01
078590,0,0.0,442,9.19,0,0.0
178920,603,69.56,8557,4.9,315,0.75
024940,577,7.48,3828,1.13,25,0.58
218410,857,43.28,8351,4.44,200,0.54
091340,1368,3.71,7586,0.67,0,0.0
019550,71,21.77,583,2.65,0,0.0
046140,26,253.1,7234,0.91,0,0.0
036120,141,28.97,610,6.7,69,1.69
099220,93,32.97,1642,1.87,0,0.0
036540,146,55.47,2066,3.92,0,0.0
255220,287,6.93,1924,1.03,0,0.0
040610,49,51.34,7017,0.36,0,0.0
049470,0,0.0,577,1.58,0,0.0
184230,0,0.0,496,2.55,0,0.0
016250,6410,7.89,91954,0.55,1500,2.96
307070,0,0.0,0,0.0,0,0.0
337450,0,0.0,0,0.0,0,0.0
340350,0,0.0,0,0.0,0,0.0
036490,13507,24.1,44730,7.28,3850,1.18
048550,40,43.38,1237,1.4,0,0.0
063440,0,0.0,1084,2.98,0,0.0
289080,0,0.0,1006,4.39,30,0.68
089230,0,0.0,574,1.9,0,0.0
161570,0,0.0,2085,0.87,0,0.0
032540,64,58.75,5642,0.67,50,1.33
048770,0,0.0,2030,2.1,15,0.35
246690,201,19.88,1434,2.79,25,0.63
317240,0,0.0,0,0.0,0,0.0
038340,0,0.0,1110,0.73,0,0.0
073570,20,77.0,536,2.87,0,0.0
052300,0,0.0,429,0.78,0,0.0
057030,110,64.4,2583,2.74,0,0.0
040300,0,0.0,4410,0.95,10,0.24
051390,218,21.06,6272,0.73,50,1.09
052220,93,48.22,2270,1.98,0,0.0
079940,826,18.28,5410,2.79,40,0.26
078890,1204,11.13,10280,1.3,100,0.75
192410,711,4.37,17361,0.18,0,0.0
217730,0,0.0,2936,2.29,0,0.0
114190,0,0.0,1211,2.06,0,0.0
094480,233,24.25,2344,2.41,55,0.97
063080,2110,19.72,38098,1.09,0,0.0
044480,0,0.0,3458,0.7,0,0.0
039240,186,13.33,3487,0.71,90,3.63
053950,0,0.0,3588,1.9,0,0.0
223310,0,0.0,4820,0.69,0,0.0
011040,850,11.4,8539,1.13,400,4.13
024910,0,0.0,2134,1.41,0,0.0
198440,106,31.8,2766,1.22,15,0.45
049720,476,13.24,1577,3.99,250,3.97
014570,357,30.95,5914,1.87,100,0.9
348150,0,0.0,0,0.0,0,0.0
098460,2192,52.84,17763,6.52,550,0.47
038530,0,0.0,629,1.98,0,0.0
215000,2585,28.39,31877,2.3,2050,2.79
121440,0,0.0,10475,0.64,117,1.73
014200,0,0.0,1480,1.1,0,0.0
026910,0,0.0,4384,1.1,0,0.0
090150,223,18.1,4315,0.94,100,2.48
355150,0,0.0,0,0.0,0,0.0
331520,0,0.0,0,0.0,0,0.0
053270,136,34.56,2717,1.73,30,0.64
066620,2293,8.9,16449,1.24,300,1.47
043650,0,0.0,11214,0.7,100,1.28
006050,32,86.44,1514,1.83,15,0.54
060480,0,0.0,4269,1.03,50,1.13
078130,0,0.0,357,15.29,0,0.0
307750,0,0.0,0,0.0,0,0.0
204020,89,32.88,3678,0.8,30,1.03
186230,337,35.62,3824,3.14,0,0.0
204620,163,18.83,1953,1.57,0,0.0
019660,0,0.0,714,5.57,0,0.0
053260,265,24.05,5902,1.08,100,1.57
036190,4614,6.31,39902,0.73,1300,4.47
049080,0,0.0,526,3.23,0,0.0
035460,231,11.97,2198,1.26,0,0.0
308100,1083,12.28,11624,1.14,0,0.0
187790,18,83.3,1954,0.77,0,0.0
286750,0,0.0,3103,5.8,0,0.0
151910,0,0.0,336,22.14,0,0.0
121600,541,49.25,8591,3.1,120,0.45
247660,0,0.0,750,29.8,0,0.0
039860,219,33.66,1546,4.77,0,0.0
091970,0,0.0,2292,0.87,0,0.0
051490,78,130.1,5596,1.81,60,0.59
190510,0,0.0,6446,3.2,0,0.0
242040,131,21.53,592,4.76,0,0.0
089600,2156,17.6,14753,2.57,660,1.74
293580,312,34.62,7428,1.45,150,1.39
138610,0,0.0,2767,12.38,0,0.0
130580,686,13.99,3540,2.71,175,1.82
036800,3212,8.92,23005,1.25,460,1.61
267320,0,0.0,0,0.0,0,0.0
111710,150,71.3,6556,1.63,50,0.47
091590,424,28.66,11305,1.07,70,0.58
168330,0,0.0,1010,2.5,0,0.0
253590,0,0.0,999,3.43,10,0.29
212560,317,18.39,10077,0.58,50,0.86
095660,1133,20.2,14741,1.55,0,0.0
042420,2529,14.0,36556,0.97,123,0.35
311390,164,47.06,5197,1.49,0,0.0
085910,135,29.62,3880,1.03,250,6.25
092730,2570,12.67,12878,2.53,750,2.3
290660,0,0.0,907,3.1,0,0.0
306620,4,961.0,1822,2.11,0,0.0
153460,0,0.0,3674,1.73,0,0.0
007390,16,556.0,1338,6.65,0,0.0
033640,1349,28.17,9053,4.2,270,0.71
330860,763,54.12,3876,10.66,0,0.0
089140,539,29.4,8455,1.87,100,0.63
065170,0,0.0,734,1.89,0,0.0
137940,0,0.0,1028,1.25,0,0.0
348210,0,0.0,180,386.8,0,0.0
041140,85,160.0,3040,4.47,0,0.0
217270,0,0.0,2945,8.2,0,0.0
225570,0,0.0,1323,10.51,0,0.0
104620,0,0.0,11795,2.06,200,0.82
194700,1850,21.56,10195,3.91,200,0.5
285490,548,62.78,2838,12.12,242,0.7
278650,650,41.9,5581,4.88,0,0.0
144510,0,0.0,4174,23.05,25,0.03
031390,923,45.84,6986,6.05,100,0.24
142280,0,0.0,2348,4.32,0,0.0
234690,400,30.38,4685,2.59,80,0.66
065560,0,0.0,4418,1.31,0,0.0
